,1,2,3,4,5,6,7
546,42404761312.0,,,,,,
547,205846063.0,,,,,,
548,4003650125.0,,,,,,
549,1448856700.0,,,,,,
550,16300155.0,,,,,,
551,1355648874.0,,,,,,
552,661767310099.0,,,,,,
553,24867132.0,,,,,,
554,309253106.0,,,,,,
555,14705889.0,,,,,,
556,636468044.0,,,,,,
557,35749332.0,,,,,,
558,18535441352.0,,,,,,
559,54114870.0,,,,,,
560,389078532.0,,,,,,
561,958931294.0,,,,,,
562,1074329567.0,,,,,,
563,265164565.0,,,,,,
564,77275695.0,,,,,,
565,465752302.0,,,,,,
566,48203656.0,,,,,,
567,2022320284.0,,,,,,
568,120019790.0,,,,,,
569,55044872.0,,,,,,
570,81890695.0,,,,,,
571,497284702.0,,,,,,
572,920885505.0,,,,,,
573,861803407.0,,,,,,
574,559110773.0,,,,,,
575,55895821.0,,,,,,
576,29321402591.0,,,,,,
577,32394945.0,,,,,,
578,435638925.0,,,,,,
579,354372631.0,,,,,,
580,16636902.0,,,,,,
581,53184674.0,,,,,,
582,2014780982.0,,,,,,
583,200656744.0,,,,,,
584,,,,,,,27793246.0
585,,,,,,,311843071.0
586,117824670.0,,,,,,
587,6866541.0,,,,,,
588,6198587.0,,,,,,
589,12572338.0,,,,,,
590,1583430368.0,,,,,,
591,302347979.0,,,,,,
592,,,,,,,28978930.0
593,,,,,,1458627617.0,
594,14193499271.0,,,,,,
595,169047048.0,,,,,,
596,901245183.0,,,,,,
597,1914611028.0,,,,,,
598,,,,,,,6284888101.0
599,,,,,,,406427126.0
600,,,,,,,307315489.0
601,301368393.0,,,,,,
602,,,,,,375957522.0,
603,,,,,,3711032786.0,
604,,,,,,129268337.0,
605,,,,,,1544308673.0,
606,,,,,,712013274270.0,
607,,,,,,1113147999.0,
608,,,,,,1156423344.0,
609,,,,,,,2500000000000.0
610,,,,,,,2009162034.0
611,,,,,,,124230783.0
612,,,,,,,102010145.0
613,,,,,,78547393.0,
614,,,,,,69895280.0,
615,,,,,,6435094436.0,
616,,,,,,,1385248.0
617,,,,,,,210453440.0
618,553183215.0,,,,,,
619,44644137.0,,,,,,
620,29304844.0,,,,,,
621,6871009363.0,,,,,,
622,3000001862.0,,,,,,
623,500594.0,,,,,,
624,1044522262.0,,,,,,
625,2349569273.0,,,,,,
626,973620879.0,,,,,,
627,6764307741.0,,,,,,
628,652013670.0,,,,,,
629,24015766.0,,,,,,
630,783279973.0,,,,,,
631,3886768586.0,,,,,,
632,34337847.0,,,,,,
633,173525159.0,,,,,,
634,534712199.0,,,,,,
635,629843073.0,,,,,,
636,673640311.0,,,,,,
637,3446090603.0,,,,,,
638,11040649.0,,,,,,
639,27949596451.0,,,,,,
640,6886168.0,,,,,,
641,274240722.0,,,,,,
642,24062673526.0,,,,,,
643,156250223.0,,,,,,
644,726293160.0,,,,,,
645,17625176565.0,,,,,,
646,5956384340.0,,,,,,
647,1000000000.0,,,,,,
648,1323732630.0,,,,,,
649,150000000.0,,,,,,
650,29609034.0,,,,,,
651,309304008.0,,,,,,
652,331608011.0,,,,,,
653,2029699265.0,,,,,,
654,229396406.0,,,,,,
655,11808011.0,,,,,,
656,16784929.0,,,,,,
657,,,,,,,7753463.0
658,,,,,,129037978.0,
659,,,,,,,859249812.0
660,,,,,,27616357.0,
661,,,,,,,3718552.0
662,,,,,,7582429771.0,
663,,,,,,3423987.0,
664,24503291.0,,,,,,
665,116909501.0,,,,,,
666,3076213952.0,,,,,,
667,1340412422.0,,,,,,
668,1816907286.0,,,,,,
669,196645910.0,,,,,,
670,1823050.0,,,,,,
671,1184738669.0,,,,,,
672,9557527661.0,,,,,,
673,2061750249.0,,,,,,
674,626273166.0,,,,,,
675,5170296656.0,,,,,,
676,186574446.0,,,,,,
677,159308566.0,,,,,,
678,122889704.0,,,,,,
679,49992857.0,,,,,,
680,496181657.0,,,,,,
681,1638883627.0,,,,,,
682,113077176195.0,,,,,,
683,3527536630.0,,,,,,
684,833268210.0,,,,,,
685,510776361.0,,,,,,
686,414619586.0,,,,,,
687,203942600.0,,,,,,
688,1644914531.0,,,,,,
689,128072918.0,,,,,,
690,207948657871.0,,,,,,
